"palavra","tipo"
"Denis","SU"
"Denise","SU"
"Deodoro","SU"
"Descartes","SU"
"Desdêmona","SU"
"Desidério","SU"
"Deucalião","SU"
"Deus","SU"
"Diana","SU"
"Dido","SU"
"Dinamarca","SU"
"Diocleciano","SU"
"Diodoro","SU"
"Diofanto","SU"
"Dion","SU"
"Dioniso","SU"
"Dionísio","SU"
"Dioscuros","SU"
"Diógenes","SU"
"Domiciana","SU"
"Domiciano","SU"
"Domingas","SU"
"Domingos","SU"
"Doppler","SU"
"Duarte","SU"
"Dunquerque","SU"
"Dácia","SU"
"Dáfnis","SU"
"Dâmocles","SU"
"Débora","SU"
"Dédalo","SU"
"Edgar","SU"
"Edimburgo","SU"
"Edite","SU"
"Edmundo","SU"
"Efraim","SU"
"Efrata","SU"
"Egeu","SU"
"Egito","SU"
"Eiffel","SU"
"Eldorado","SU"
"Electra","SU"
"Elefantina","SU"
"Eleonora","SU"
"Eliana","SU"
"Eliane","SU"
"Elias","SU"
"Eliezer","SU"
"Elisa","SU"
"Elisabete","SU"
"Elixa","SU"
"Elvira","SU"
"Elêusis","SU"
"Elígio","SU"
"Elísio","SU"
"Ema","SU"
"Emanuel","SU"
"Emanuela","SU"
"Emaús","SU"
"Emboaba","SU"
"Emiliana","SU"
"Emiliano","SU"
"Emirados","SU"
"Empédocles","SU"
"Emérico","SU"
"Emídio","SU"
"Emília","SU"
"Emílio","SU"
"Eneida","SU"
"Enéias","SU"
"Epaminondas","SU"
"Epicteto","SU"
"Epicuro","SU"
"Epidauro","SU"
"Epifania","SU"
"Equador","SU"
"Erasmo","SU"
"Eratóstenes","SU"
"Ernesto","SU"
"Eros","SU"
"Erzegóvina","SU"
"Esaú","SU"
"Escandinávia","SU"
"Escobar","SU"
"Esculápio","SU"
"Escócia","SU"
"Esdras","SU"
"Eslováquia","SU"
"Eslovênia","SU"
"Esopo","SU"
"Espanha","SU"
"Esparta","SU"
"Espinhaço","SU"
"Espírito Santo","SU"
"Estados Unidos","SU"
"Ester","SU"
"Estrasburgo","SU"
"Estêvão","SU"
"Estônia","SU"
"Etiópia","SU"
"Etna","SU"
"Etrúria","SU"
"Euclides","SU"
"Eudóxia","SU"
"Eudóxio","SU"
"Eufrates","SU"
"Eugênia","SU"
"Eugênio","SU"
"Eulália","SU"
"Europa","SU"
"Eurásia","SU"
"Eurídice","SU"
"Eurípides","SU"
"Eustáquio","SU"
"Eva","SU"
"Everest","SU"
"Extremo","SU"
"Ezequiel","SU"
"Ezra","SU"
"Fabrício","SU"
"Felipe","SU"
"Fernanda","SU"
"Fernando","SU"
"Fernando Pessoa","SU"
"Fernão","SU"
"Ferreira","SU"
"Figueiredo","SU"
"Filipinas","SU"
"Finlândia","SU"
"Firmino","SU"
"Flandres","SU"
"Floriano","SU"
"Florianópolis","SU"
"Flávia","SU"
"Flávio","SU"
"Francisca","SU"
"Francisco","SU"
"França","SU"
"Frederico","SU"
"Freitas","SU"
"Frígia","SU"
"Frígias","SU"
"Frígio","SU"
"Frígios","SU"
"Fátima","SU"
"Félix","SU"
"Gabriel","SU"
"Gales","SU"
"Galácia","SU"
"Garcia","SU"
"Genebra","SU"
"George","SU"
"Geórgia","SU"
"Gil","SU"
"Glauco","SU"
"Goiás","SU"
"Goiânia","SU"
"Gomes","SU"
"Gonçalves","SU"
"Gonçalves Dias","SU"
"Gouveia","SU"
"Gregório","SU"
"Groenlândia","SU"
"Grã","SU"
"Grécia","SU"
"Guanabara","SU"
"Guarani","SU"
"Guatemala","SU"
"Guaíra","SU"
"Guedes","SU"
"Guiana","SU"
"Guianas","SU"
"Guilherme","SU"
"Guimarães","SU"
"Guimarães Rosa","SU"
"Gumercindo","SU"
"Gutierrez","SU"
"Gênova","SU"
"Góis","SU"
"Gólgota","SU"
"Haia","SU"
"Hamburgo","SU"
"Helena","SU"
"Helvécia","SU"
"Henrique","SU"
"Heraldo","SU"
"Holanda","SU"
"Homero","SU"
"Honduras","SU"
"Horizonte","SU"
"Hungria","SU"
"Hércules","SU"
"Iduméia","SU"
"Iguaçu","SU"
"Indochina","SU"
"Indonésia","SU"
"Inglaterra","SU"
"Inácia","SU"
"Inácio","SU"
"Inês","SU"
"Iorque","SU"
"Irlanda","SU"
"Irã","SU"
"Isaías","SU"
"Islândia","SU"
"Israel","SU"
"Istambul","SU"
"Itabaiana","SU"
"Itaberaba","SU"
"Itamaracá","SU"
"Itararé","SU"
"Itatiaia","SU"
"Itália","SU"
"Iugoslávia","SU"
"Jaime","SU"
"Jamaica","SU"
"Jandaia","SU"
"Japão","SU"
"Java","SU"
"Javé","SU"
"Jean","SU"
"Jequitinhonha","SU"
"Jeremias","SU"
"Jerusalém","SU"
"Jesus","SU"
"Jesuíno","SU"
"Joaquim","SU"
"Jorge","SU"
"José","SU"
"João","SU"
"Joãozinho","SU"
"Juazeiros","SU"
"Judéia","SU"
"Julião","SU"
"Kazuo","SU"
"Kioto","SU"
"Laos","SU"
"Lapa","SU"
"Lapônia","SU"
"Latrão","SU"
"Laura","SU"
"Lauro","SU"
"Leandro","SU"
"Letônia","SU"
"Linda","SU"
"Lisandro","SU"
"Lisboa","SU"
"Lisieux","SU"
"Lituânia","SU"
"Londres","SU"
"Lopes","SU"
"Luiz","SU"
"Lusitânia","SU"
"Lutero","SU"
"Luxemburgo","SU"
"Luís","SU"
"Lázaro","SU"
"Líbano","SU"
"Lúcifer","SU"
"Lúcio","SU"
"Maceió","SU"
"Machado de Assis","SU"
"Maciel","SU"
"Madrid","SU"
"Magalhães","SU"
"Malásia","SU"
"Manaus","SU"
"Mancha","SU"
"Manhattan","SU"
"Manoel","SU"
"Manoela","SU"
"Mantiqueira","SU"
"Manuel","SU"
"Manuel Bandeira","SU"
"Marco","SU"
"Marcos","SU"
"Margarete","SU"
"Margarida","SU"
"Margarido","SU"
"Maria","SU"
"Mariana","SU"
"Marianas","SU"
"Mariano","SU"
"Marianos","SU"
"Marias","SU"
"Maritacas","SU"
"Marrocos","SU"
"Marselha","SU"
"Marta","SU"
"Martiniano","SU"
"Martins","SU"
"Mascarenhas","SU"
"Medeiros","SU"
"Mediterrâneo","SU"
"Melchior","SU"
"Melquíades","SU"
"Mendes","SU"
"Meneses","SU"
"Mercúrio","SU"
"Miguel","SU"
"Minas Gerais","SU"
"Minotauro","SU"
"Moisés","SU"
"Mongólia","SU"
"Morse","SU"
"Murici","SU"
"Márcia","SU"
"Mário","SU"
"Média","SU"
"México","SU"
"Nair","SU"
"Napoleão","SU"
"Natal","SU"
"Nações Unidas","SU"
"Nelson","SU"
"Nero","SU"
"Nestor","SU"
"Neusa","SU"
"Newtom","SU"
"Nilo","SU"
"Nina","SU"
"Niterói","SU"
"Nonato","SU"
"Norberto","SU"
"Normandia","SU"
"Noruega","SU"
"Nova York","SU"
"Nova Zelândia","SU"
"Nunes","SU"
"Nápoles","SU"
"Néri","SU"
"Nóbrega","SU"
"Odilon","SU"
"Ohm","SU"
"Oklahoma","SU"
"Olegário","SU"
"Olímpio","SU"
"Osório","SU"
"Pacheco","SU"
"Pacífico","SU"
"Palestina","SU"
"Palmares","SU"
"Panamá","SU"
"Pandora","SU"
"Paquistão","SU"
"Paraguai","SU"
"Paraguaçu","SU"
"Paranaíba","SU"
"Paraná","SU"
"Paris","SU"
"Parnaíba","SU"
"Pará","SU"
"Pascoal","SU"
"Patagônia","SU"
"Paula","SU"
"Paulo","SU"
"Pedrinho","SU"
"Pedro","SU"
"Peixoto","SU"
"Peloponeso","SU"
"Pentecostes","SU"
"Penélope","SU"
"Pequim","SU"
"Pernambuco","SU"
"Piauí","SU"
"Pimentel","SU"
"Pirassununga","SU"
"Pirineus","SU"
"Platão","SU"
"Polinésia","SU"
"Polônia","SU"
"Pompeu","SU"
"Ponciano","SU"
"Porto","SU"
"Portugal","SU"
"Praga","SU"
"Probática","SU"
"Procópio","SU"
"Prússia","SU"
"Páscoa","SU"
"Pérsia","SU"
"Quasímodo","SU"
"Queiroz","SU"
"Queirós","SU"
"Quixote","SU"
"Quênia","SU"
"Rafael","SU"
"Raimundo","SU"
"Ramalho","SU"
"Ramos","SU"
"Raquel","SU"
"Rebeca","SU"
"Rebouças","SU"
"Recife","SU"
"Reinaldo","SU"
"Reno","SU"
"República Dominicana","SU"
"Resende","SU"
"Ribas","SU"
"Ribeiro","SU"
"Ricarda","SU"
"Ricardo","SU"
"Rio Grande do Norte","SU"
"Rio Grande do Sul","SU"
"Rio de Janeiro","SU"
"Riograndenses","SU"
"Rita","SU"
"Rivaldo","SU"
"Roberto","SU"
"Robério","SU"
"Rochosas","SU"
"Rodrigues","SU"
"Rodésia","SU"
"Rogério","SU"
"Roma","SU"
"Romênia","SU"
"Ronaldo","SU"
"Rosa","SU"
"Rouen","SU"
"Rubicão","SU"
"Rute","SU"
"Rábano","SU"
"Rússia","SU"
"Saara","SU"
"Sabará","SU"
"Sales","SU"
"Salomão","SU"
"Salvador","SU"
"Samaria","SU"
"Sampaio","SU"
"Sandra","SU"
"Sandro","SU"
"Santa Catarina","SU"
"Santana","SU"
"Santiago","SU"
"Saraiva","SU"
"Sardenha","SU"
"Satanás","SU"
"Saturno","SU"
"Satã","SU"
"Saudita","SU"
"Sebastião","SU"
"Seixas","SU"
"Senegal","SU"
"Sergipe","SU"
"Setúbal","SU"
"Severino","SU"
"Sevilha","SU"
"Sibéria","SU"
"Sicília","SU"
"Silva","SU"
"Silveira","SU"
"Simão","SU"
"Simões","SU"
"Siqueira","SU"
"Sirius","SU"
"Sião","SU"
"Sobral","SU"
"Sofonias","SU"
"Soraia","SU"
"Sousa","SU"
"Souza","SU"
"Suzana","SU"
"Suécia","SU"
"Suíça","SU"
"São Francisco","SU"
"São Paulo","SU"
"Sérgio","SU"
"Síria","SU"
"Tailândia","SU"
"Tapajós","SU"
"Tasmânia","SU"
"Taubaté","SU"
"Tchecoslováquia","SU"
"Teodoro","SU"
"Teotônio","SU"
"Teresa","SU"
"Teresina","SU"
"Terra","SU"
"Tertuliano","SU"
"Texas","SU"
"Tibete","SU"
"Tietê","SU"
"Tiradentes","SU"
"Tito","SU"
"Tobias","SU"
"Tocantins","SU"
"Tomás","SU"
"Tomé","SU"
"Toronto","SU"
"Trajano","SU"
"Tristão","SU"
"Tróia","SU"
"Tucídides","SU"
"Tunísia","SU"
"Tupã","SU"
"Turquia","SU"
"Tácito","SU"
"Tâmisa","SU"
"Tóquio","SU"
"Ucrânia","SU"
"Ulisses","SU"
"União Soviética","SU"
"Uruguai","SU"
"Utah","SU"
